SMEs,Location,Activity,"Turnover January,2018 (Pounds in millions)","Pre-tax Profit January,2018 (Pounds in millions)",Tax 2018 (Pounds in millions) ,"No of Employee January,2018","Turnover Febuary,2018 (Pounds in millions)","Pre-tax Profit Febuary,2018 (Pounds in millions)","Tax Febuary,2018 (Pounds in millions)","No of Employee Febuary,2018","Turnover March,2018 (Pounds in millions)","Pre-tax Profit March,2018 (Pounds in millions)","Tax March,2018 (Pounds in millions)","No of Employee March,2018","Pre-tax Profit April,2018 (Pounds in millions)","Tax April,2018 (Pounds in millions)","No of Employee April,2018","Turnover May,2018 (Pounds in millions)","Pre-tax Profit May,2018 (Pounds in millions)","Tax May,2018 (Pounds in millions)","No of Employee May,2018","Turnover June,2018 (Pounds in millions)","Pre-tax Profit June,2018 (Pounds in millions)","Tax June,2018 (Pounds in millions)","No of Employee June,2018","Turnover July,2018 (Pounds in millions)","Pre-tax Profit July,2018 (Pounds in millions)","Tax July,2018 (Pounds in millions)","No of Employee July,2018","Turnover August,2018 (Pounds in millions)","Pre-tax Profit August,2018 (Pounds in millions)","Tax August,2018 (Pounds in millions)","No of Employee August,2018","Turnover September,2018 (Pounds in millions)","Pre-tax Profit September,2018 (Pounds in millions)","Tax September,2018 (Pounds in millions)","No of Employee September,2018","Turnover October,2018 (Pounds in millions)","Pre-tax Profit October,2018 (Pounds in millions)","Tax October,2018 (Pounds in millions)","No of Employee October,2018","Turnover November,2018 (Pounds in millions)","Pre-tax Profit November,2018 (Pounds in millions)","Tax November,2018 (Pounds in millions)","No of Employee November,2018","Turnover December,2018 (Pounds in millions)","Pre-tax Profit December,2018 (Pounds in millions)","Tax December,2018 (Pounds in millions)"
HERITAGE (NORTH WALES),Bangor,Property development,14.3,6.1,0.79,50,14.73,6.71,1.34,50,15.3,7.38,1.48,50,6.71,1.34,50,16.45,7.05,1.41,50,17.02,6.84,1.37,52,17.73,6.86,1.37,52,18.3,6.72,1.34,52,18.59,7.05,1.41,52,19.16,6.71,1.34,52,19.31,6.84,1.37,52,19.69,7.05,1.41
ITEC TRAINING SOLUTIONS,Cardiff,Training provider,12.7,2,0.26,23,13.08,2.2,0.44,23,13.59,2.42,0.48,23,2.2,0.44,23,14.61,2.31,0.46,23,15.11,2.24,0.45,25,15.75,2.25,0.45,25,16.26,2.2,0.44,25,16.51,2.31,0.46,25,17.02,2.2,0.44,25,17.15,2.24,0.45,25,17.49,2.31,0.46
CARPENTER & PATERSON,Welshpool,Pipe supports,12.4,1.2,0.16,44,12.77,1.32,0.26,44,13.27,1.45,0.29,44,1.32,0.26,44,14.26,1.39,0.28,44,14.76,1.35,0.27,46,15.38,1.35,0.27,46,15.87,1.32,0.26,46,16.12,1.39,0.28,46,16.62,1.32,0.26,46,16.74,1.35,0.27,46,17.07,1.39,0.28
MARLIN INDUSTRIES,Wrexham,Timber based packaging for cables,12.6,0.9,0.12,43,12.98,0.99,0.2,43,13.48,1.09,0.22,43,0.99,0.2,43,14.49,1.04,0.21,43,14.99,1.01,0.2,45,15.62,1.01,0.2,45,16.13,0.99,0.2,45,16.38,1.04,0.21,45,16.88,0.99,0.2,45,17.01,1.01,0.2,45,17.35,1.04,0.21
GROUNDHOG,Neath,Secure containers,9.1,2.1,0.27,34,9.37,2.31,0.46,34,9.74,2.54,0.51,34,2.31,0.46,34,10.47,2.43,0.49,34,10.83,2.36,0.47,36,11.28,2.36,0.47,36,11.65,2.31,0.46,36,11.83,2.43,0.49,36,12.19,2.31,0.46,36,12.29,2.36,0.47,36,12.53,2.43,0.49
VICTORIAN HOUSE (SALES),Ammanford,Double glazed windows,10.1,1,0.13,23,10.4,1.1,0.22,23,10.81,1.21,0.24,23,1.1,0.22,23,11.62,1.16,0.23,23,12.02,1.12,0.22,25,12.52,1.12,0.22,25,12.93,1.1,0.22,25,13.13,1.16,0.23,25,13.53,1.1,0.22,25,13.64,1.12,0.22,25,13.91,1.16,0.23
DAVID DAVIES (WHOLESALE DRAPERS),Cardiff,"Textile import, distribution and sale",11.7,0.6,0.08,56,12.05,0.66,0.13,56,12.52,0.73,0.15,56,0.66,0.13,56,13.46,0.69,0.14,56,13.92,0.67,0.13,58,14.51,0.67,0.13,58,14.98,0.66,0.13,58,15.21,0.69,0.14,58,15.68,0.66,0.13,58,15.8,0.67,0.13,58,16.11,0.69,0.14
DAVID SPEAR COMMERCIALS,Cardiff,Sale of commercial vehicles,11.5,0.5,0.07,54,11.85,0.55,0.11,54,12.31,0.61,0.12,54,0.55,0.11,54,13.23,0.58,0.12,54,13.69,0.56,0.11,56,14.26,0.56,0.11,56,14.72,0.55,0.11,56,14.95,0.58,0.12,56,15.41,0.55,0.11,56,15.53,0.56,0.11,56,15.84,0.58,0.12
SUNDORNE PRODUCTS (LLANIDLOES),Welshpool,Waste management and disposal,7.9,1.2,0.16,24,8.14,1.32,0.26,24,8.45,1.45,0.29,24,1.32,0.26,24,9.09,1.39,0.28,24,9.4,1.35,0.27,26,9.8,1.35,0.27,26,10.11,1.32,0.26,26,10.27,1.39,0.28,26,10.59,1.32,0.26,26,10.67,1.35,0.27,26,10.88,1.39,0.28
GARRISON BARCLAY EQUITY,Cardiff,Education and care,10.4,0.5,0.07,34,10.71,0.55,0.11,34,11.13,0.61,0.12,34,0.55,0.11,34,11.96,0.58,0.12,34,12.38,0.56,0.11,36,12.9,0.56,0.11,36,13.31,0.55,0.11,36,13.52,0.58,0.12,36,13.94,0.55,0.11,36,14.04,0.56,0.11,36,14.32,0.58,0.12
GWINDY 2012 (T/A JR Industries),Caerphilly,Roller shutter doors for commercial vehicles,14.9,2,0.26,21,15.35,2.2,0.44,21,15.94,2.42,0.48,21,2.2,0.44,21,17.14,2.31,0.46,21,17.73,2.24,0.45,23,18.48,2.25,0.45,23,19.07,2.2,0.44,23,19.37,2.31,0.46,23,19.97,2.2,0.44,23,20.12,2.24,0.45,23,20.52,2.31,0.46
S&K HAULAGE (GLAMORGAN),Barry,Distribution and warehousing,14.7,1.2,0.16,27,15.14,1.32,0.26,27,15.73,1.45,0.29,27,1.32,0.26,27,16.91,1.39,0.28,27,17.49,1.35,0.27,29,18.23,1.35,0.27,29,18.82,1.32,0.26,29,19.11,1.39,0.28,29,19.7,1.32,0.26,29,19.85,1.35,0.27,29,20.24,1.39,0.28
GAIA TECHNOLOGIES,Bangor,Information and communication technology,14.5,0.9,0.12,15,14.94,0.99,0.2,15,15.52,1.09,0.22,15,0.99,0.2,15,16.68,1.04,0.21,15,17.26,1.01,0.2,17,17.98,1.01,0.2,17,18.56,0.99,0.2,17,18.85,1.04,0.21,17,19.43,0.99,0.2,17,19.58,1.01,0.2,17,19.97,1.04,0.21
KATHRENS,Pontypridd,Property,14.1,0.7,0.09,37,14.52,0.77,0.15,37,15.09,0.85,0.17,37,0.77,0.15,37,16.22,0.81,0.16,37,16.78,0.79,0.16,39,17.48,0.79,0.16,39,18.05,0.77,0.15,39,18.33,0.81,0.16,39,18.89,0.77,0.15,39,19.04,0.79,0.16,39,19.42,0.81,0.16
RYLO,Swansea,Nursing and residential homes,8.9,2.4,0.31,31,9.17,2.64,0.53,31,9.52,2.9,0.58,31,2.64,0.53,31,10.24,2.77,0.55,31,10.59,2.69,0.54,33,11.04,2.7,0.54,33,11.39,2.65,0.53,33,11.57,2.77,0.55,33,11.93,2.64,0.53,33,12.02,2.69,0.54,33,12.26,2.77,0.55
FINANCE WALES,Cardiff,Finance,10,1,0.13,54,10.3,1.1,0.22,54,10.7,1.21,0.24,54,1.1,0.22,54,11.5,1.16,0.23,54,11.9,1.12,0.22,56,12.4,1.12,0.22,56,12.8,1.1,0.22,56,13,1.16,0.23,56,13.4,1.1,0.22,56,13.5,1.12,0.22,56,13.77,1.16,0.23
SOLAR WINDOWS,Caerphilly,"UPVC windows, doors and related products",11.8,0.5,0.07,34,12.15,0.55,0.11,34,12.63,0.61,0.12,34,0.55,0.11,34,13.57,0.58,0.12,34,14.04,0.56,0.11,36,14.63,0.56,0.11,36,15.1,0.55,0.11,36,15.34,0.58,0.12,36,15.81,0.55,0.11,36,15.93,0.56,0.11,36,16.25,0.58,0.12
CORNELIUS,Port Talbot,Wire harnesses and glass panels,11.7,0.5,0.07,65,12.05,0.55,0.11,65,12.52,0.61,0.12,65,0.55,0.11,65,13.46,0.58,0.12,65,13.92,0.56,0.11,67,14.51,0.56,0.11,67,14.98,0.55,0.11,67,15.21,0.58,0.12,67,15.68,0.55,0.11,67,15.8,0.56,0.11,67,16.11,0.58,0.12
BAKERFIELD (WALES),Swansea,Burger King restaurants franchisee,10.9,0.5,0.07,56,11.23,0.55,0.11,56,11.66,0.61,0.12,56,0.55,0.11,56,12.54,0.58,0.12,56,12.97,0.56,0.11,58,13.52,0.56,0.11,58,13.95,0.55,0.11,58,14.17,0.58,0.12,58,14.61,0.55,0.11,58,14.72,0.56,0.11,58,15.01,0.58,0.12
MONOLITHIC REFRACTORIES,Neath,Industrial materials,27.5,1,0.13,32,28.33,1.1,0.22,32,29.43,1.21,0.24,32,1.1,0.22,32,31.63,1.16,0.23,32,32.73,1.12,0.22,34,34.1,1.12,0.22,34,35.2,1.1,0.22,34,35.75,1.16,0.23,34,36.85,1.1,0.22,34,37.13,1.12,0.22,34,37.87,1.16,0.23
HOLLINGSWORTH BROS (UK),St Asaph,Construction,14.3,2.3,0.3,45,14.73,2.53,0.51,45,15.3,2.78,0.56,45,2.53,0.51,45,16.45,2.66,0.53,45,17.02,2.58,0.52,47,17.73,2.59,0.52,47,18.3,2.54,0.51,47,18.59,2.66,0.53,47,19.16,2.53,0.51,47,19.31,2.58,0.52,47,19.69,2.66,0.53
VILLAGE BAKERY (COEDPOETH),Wrexham,Baker,13.9,1.4,0.18,29,14.32,1.54,0.31,29,14.87,1.69,0.34,29,1.54,0.31,29,15.99,1.62,0.32,29,16.54,1.57,0.31,31,17.24,1.57,0.31,31,17.79,1.54,0.31,31,18.07,1.62,0.32,31,18.63,1.54,0.31,31,18.77,1.57,0.31,31,19.14,1.62,0.32
RED RECRUITMENT PARTNERSHIP,Cardiff,Recruitment,13.9,1,0.13,31,14.32,1.1,0.22,31,14.87,1.21,0.24,31,1.1,0.22,31,15.99,1.16,0.23,31,16.54,1.12,0.22,33,17.24,1.12,0.22,33,17.79,1.1,0.22,33,18.07,1.16,0.23,33,18.63,1.1,0.22,33,18.77,1.12,0.22,33,19.14,1.16,0.23
RICHARD WILLIAMS (DEGANWY),Llandudno Junction,Builders merchants,12.3,0.9,0.12,22,12.67,0.99,0.2,22,13.16,1.09,0.22,22,0.99,0.2,22,14.15,1.04,0.21,22,14.64,1.01,0.2,24,15.25,1.01,0.2,24,15.74,0.99,0.2,24,15.99,1.04,0.21,24,16.48,0.99,0.2,24,16.61,1.01,0.2,24,16.94,1.04,0.21
WYNNE-WILLIAMS (FLINT),Bagillt,Meat traders,10.8,1,0.13,34,11.12,1.1,0.22,34,11.56,1.21,0.24,34,1.1,0.22,34,12.42,1.16,0.23,34,12.85,1.12,0.22,36,13.39,1.12,0.22,36,13.82,1.1,0.22,36,14.04,1.16,0.23,36,14.47,1.1,0.22,36,14.58,1.12,0.22,36,14.87,1.16,0.23
DIRECT HEALTHCARE SERVICES,Caerphilly,Medical equipment and accessories,8.8,1.4,0.18,32,9.06,1.54,0.31,32,9.42,1.69,0.34,32,1.54,0.31,32,10.12,1.62,0.32,32,10.47,1.57,0.31,34,10.91,1.57,0.31,34,11.26,1.54,0.31,34,11.44,1.62,0.32,34,11.79,1.54,0.31,34,11.88,1.57,0.31,34,12.12,1.62,0.32
SOURCE INSURANCE,Cardiff,Insurance intermediary,10,0.8,0.1,20,10.3,0.88,0.18,20,10.7,0.97,0.19,20,0.88,0.18,20,11.5,0.92,0.18,20,11.9,0.9,0.18,22,12.4,0.9,0.18,22,12.8,0.88,0.18,22,13,0.92,0.18,22,13.4,0.88,0.18,22,13.5,0.9,0.18,22,13.77,0.92,0.18
WELSH SAUSAGE,Welshpool,Sausages,7.9,1.3,0.17,20,8.14,1.43,0.29,20,8.45,1.57,0.31,20,1.43,0.29,20,9.09,1.5,0.3,20,9.4,1.46,0.29,22,9.8,1.46,0.29,22,10.11,1.43,0.29,22,10.27,1.5,0.3,22,10.59,1.43,0.29,22,10.67,1.46,0.29,22,10.88,1.5,0.3
FARRALLS TRANSPORT (PROPERTIES),Deeside,"Distribution, haulage and pallet network",8.4,1,0.13,26,8.65,1.1,0.22,26,8.99,1.21,0.24,26,1.1,0.22,26,9.66,1.16,0.23,26,10,1.12,0.22,28,10.42,1.12,0.22,28,10.75,1.1,0.22,28,10.92,1.16,0.23,28,11.26,1.1,0.22,28,11.34,1.12,0.22,28,11.57,1.16,0.23
PINACL,St Asaph,Information technology and building services,12.5,0.3,0.04,54,12.88,0.33,0.07,54,13.38,0.36,0.07,54,0.33,0.07,54,14.38,0.35,0.07,54,14.88,0.34,0.07,56,15.5,0.34,0.07,56,16,0.33,0.07,56,16.25,0.35,0.07,56,16.75,0.33,0.07,56,16.88,0.34,0.07,56,17.21,0.35,0.07
DELFIN INVESTMENTS,Llandrindod Wells,Bottled water,13.7,3.1,0.4,23,14.11,3.41,0.68,23,14.66,3.75,0.75,23,3.41,0.68,23,15.76,3.58,0.72,23,16.3,3.48,0.7,25,16.99,3.49,0.7,25,17.54,3.42,0.68,25,17.81,3.58,0.72,25,18.36,3.41,0.68,25,18.5,3.48,0.7,25,18.86,3.58,0.72
GENQUIP,Port Talbot,Mobile & static welfare accommodation,13.3,1.4,0.18,65,13.7,1.54,0.31,65,14.23,1.69,0.34,65,1.54,0.31,65,15.3,1.62,0.32,65,15.83,1.57,0.31,67,16.49,1.57,0.31,67,17.02,1.54,0.31,67,17.29,1.62,0.32,67,17.82,1.54,0.31,67,17.96,1.57,0.31,67,18.31,1.62,0.32
GLT EXPORTS,Swansea,Fire alarm systems,11.2,1.5,0.2,43,11.54,1.65,0.33,43,11.98,1.82,0.36,43,1.65,0.33,43,12.88,1.73,0.35,43,13.33,1.68,0.34,45,13.89,1.69,0.34,45,14.34,1.65,0.33,45,14.56,1.73,0.35,45,15.01,1.65,0.33,45,15.12,1.68,0.34,45,15.42,1.73,0.35
BLUE BAY BUILDING PRODUCTS,Cardiff,Building products,13.4,0.8,0.1,23,13.8,0.88,0.18,23,14.34,0.97,0.19,23,0.88,0.18,23,15.41,0.92,0.18,23,15.95,0.9,0.18,25,16.62,0.9,0.18,25,17.15,0.88,0.18,25,17.42,0.92,0.18,25,17.96,0.88,0.18,25,18.09,0.9,0.18,25,18.45,0.92,0.18
METLAB SUPPLIES,Deeside,Laboratory equipment,13.6,0.6,0.08,45,14.01,0.66,0.13,45,14.55,0.73,0.15,45,0.66,0.13,45,15.64,0.69,0.14,45,16.18,0.67,0.13,47,16.86,0.67,0.13,47,17.41,0.66,0.13,47,17.68,0.69,0.14,47,18.22,0.66,0.13,47,18.36,0.67,0.13,47,18.73,0.69,0.14
WALDON,Porth,Automotive components,8.4,1.6,0.21,65,8.65,1.76,0.35,65,8.99,1.94,0.39,65,1.76,0.35,65,9.66,1.85,0.37,65,10,1.8,0.36,67,10.42,1.8,0.36,67,10.75,1.76,0.35,67,10.92,1.85,0.37,67,11.26,1.76,0.35,67,11.34,1.8,0.36,67,11.57,1.85,0.37
SPECIALISED WIRING ACCESSORIES,Lisburn,Distribution of electrical components,10.3,0.7,0.09,42,10.61,0.77,0.15,42,11.02,0.85,0.17,42,0.77,0.15,42,11.85,0.81,0.16,42,12.26,0.79,0.16,44,12.77,0.79,0.16,44,13.18,0.77,0.15,44,13.39,0.81,0.16,44,13.8,0.77,0.15,44,13.91,0.79,0.16,44,14.18,0.81,0.16
VALE HOLIDAY PARKS,Aberystwyth,Holiday park proprietor and caravan dealer,7.6,1.4,0.18,13,7.83,1.54,0.31,13,8.13,1.69,0.34,13,1.54,0.31,13,8.74,1.62,0.32,13,9.04,1.57,0.31,15,9.42,1.57,0.31,15,9.73,1.54,0.31,15,9.88,1.62,0.32,15,10.18,1.54,0.31,15,10.26,1.57,0.31,15,10.47,1.62,0.32
GLENSIDE COMMERCIALS,Caerphilly,Service and repair of commercial vehicles,12,0.4,0.05,45,12.36,0.44,0.09,45,12.84,0.48,0.1,45,0.44,0.09,45,13.8,0.46,0.09,45,14.28,0.45,0.09,47,14.88,0.45,0.09,47,15.36,0.44,0.09,47,15.6,0.46,0.09,47,16.08,0.44,0.09,47,16.2,0.45,0.09,47,16.52,0.46,0.09
INTERFRAME (SOUTH WEST),Caerphilly,UPVC windows and doors,9.6,0.6,0.08,32,9.89,0.66,0.13,32,10.27,0.73,0.15,32,0.66,0.13,32,11.04,0.69,0.14,32,11.42,0.67,0.13,34,11.9,0.67,0.13,34,12.29,0.66,0.13,34,12.48,0.69,0.14,34,12.86,0.66,0.13,34,12.96,0.67,0.13,34,13.22,0.69,0.14
GREENCOAT,Monmouth,Animal feed,13.6,2.3,0.3,36,14.01,2.53,0.51,36,14.55,2.78,0.56,36,2.53,0.51,36,15.64,2.66,0.53,36,16.18,2.58,0.52,38,16.86,2.59,0.52,38,17.41,2.54,0.51,38,17.68,2.66,0.53,38,18.22,2.53,0.51,38,18.36,2.58,0.52,38,18.73,2.66,0.53
A&N LEWIS,Cardiff,"Building contractor, decorator and developer",13.4,1.4,0.18,62,13.8,1.54,0.31,62,14.34,1.69,0.34,62,1.54,0.31,62,15.41,1.62,0.32,62,15.95,1.57,0.31,64,16.62,1.57,0.31,64,17.15,1.54,0.31,64,17.42,1.62,0.32,64,17.96,1.54,0.31,64,18.09,1.57,0.31,64,18.45,1.62,0.32
WESTCO,Cardiff,Floor coverings and accessories,14.2,0.8,0.1,14,14.63,0.88,0.18,14,15.19,0.97,0.19,14,0.88,0.18,14,16.33,0.92,0.18,14,16.9,0.9,0.18,16,17.61,0.9,0.18,16,18.18,0.88,0.18,16,18.46,0.92,0.18,16,19.03,0.88,0.18,16,19.17,0.9,0.18,16,19.55,0.92,0.18
PACHUCA (T/A Dudleys Aluminium),Cardiff,Aluminium building products,10.6,1.2,0.16,32,10.92,1.32,0.26,32,11.34,1.45,0.29,32,1.32,0.26,32,12.19,1.39,0.28,32,12.61,1.35,0.27,34,13.14,1.35,0.27,34,13.57,1.32,0.26,34,13.78,1.39,0.28,34,14.2,1.32,0.26,34,14.31,1.35,0.27,34,14.6,1.39,0.28
RK AGGARWAL,Cardiff,Chemists,13.1,0.6,0.08,21,13.49,0.66,0.13,21,14.02,0.73,0.15,21,0.66,0.13,21,15.07,0.69,0.14,21,15.59,0.67,0.13,23,16.24,0.67,0.13,23,16.77,0.66,0.13,23,17.03,0.69,0.14,23,17.55,0.66,0.13,23,17.69,0.67,0.13,23,18.04,0.69,0.14
FWG SALES,Chester,Wholesaler of beds and furniture,14.8,0.4,0.05,23,15.24,0.44,0.09,23,15.84,0.48,0.1,23,0.44,0.09,23,17.02,0.46,0.09,23,17.61,0.45,0.09,25,18.35,0.45,0.09,25,18.94,0.44,0.09,25,19.24,0.46,0.09,25,19.83,0.44,0.09,25,19.98,0.45,0.09,25,20.38,0.46,0.09
PRECISION MANUFACTURING SOLUTIONS,Monmouth,"Engineering tools, equipment and components",7.9,1.5,0.2,43,8.14,1.65,0.33,43,8.45,1.82,0.36,43,1.65,0.33,43,9.09,1.73,0.35,43,9.4,1.68,0.34,45,9.8,1.69,0.34,45,10.11,1.65,0.33,45,10.27,1.73,0.35,45,10.59,1.65,0.33,45,10.67,1.68,0.34,45,10.88,1.73,0.35
EVADX,Rhyl,Welding and fabrication engineers,12,0.4,0.05,21,12.36,0.44,0.09,21,12.84,0.48,0.1,21,0.44,0.09,21,13.8,0.46,0.09,21,14.28,0.45,0.09,23,14.88,0.45,0.09,23,15.36,0.44,0.09,23,15.6,0.46,0.09,23,16.08,0.44,0.09,23,16.2,0.45,0.09,23,16.52,0.46,0.09
VIBRANT ENERGY MATTERS,Blackwood,Home energy and floor plans,8.8,0.8,0.1,32,9.06,0.88,0.18,32,9.42,0.97,0.19,32,0.88,0.18,32,10.12,0.92,0.18,32,10.47,0.9,0.18,34,10.91,0.9,0.18,34,11.26,0.88,0.18,34,11.44,0.92,0.18,34,11.79,0.88,0.18,34,11.88,0.9,0.18,34,12.12,0.92,0.18
BALMCREST HOMES,Cardiff,Property investment and management,8.4,20.8,2.7,31,8.65,22.88,4.58,31,8.99,25.17,5.03,31,22.88,4.58,31,9.66,24.02,4.8,31,10,23.34,4.67,33,10.42,23.38,4.68,33,10.75,22.93,4.59,33,10.92,24.02,4.8,33,11.26,22.88,4.58,33,11.34,23.34,4.67,33,11.57,24.04,4.81
MINTON TREHARNE & DAVIES,Cardiff,"Scientific consultancy, surveying and testing services",14.5,1.5,0.2,24,14.94,1.65,0.33,24,15.52,1.82,0.36,24,1.65,0.33,24,16.68,1.73,0.35,24,17.26,1.68,0.34,26,17.98,1.69,0.34,26,18.56,1.65,0.33,26,18.85,1.73,0.35,26,19.43,1.65,0.33,26,19.58,1.68,0.34,26,19.97,1.73,0.35
PUMP SUPPLIES,Port Talbot,Maintenance and hire of pumping equipment,14.5,1.1,0.14,25,14.94,1.21,0.24,25,15.52,1.33,0.27,25,1.21,0.24,25,16.68,1.27,0.25,25,17.26,1.23,0.25,27,17.98,1.24,0.25,27,18.56,1.21,0.24,27,18.85,1.27,0.25,27,19.43,1.21,0.24,27,19.58,1.23,0.25,27,19.97,1.27,0.25
WELCOME,Caernarfon,Furniture,12.5,1,0.13,27,12.88,1.1,0.22,27,13.38,1.21,0.24,27,1.1,0.22,27,14.38,1.16,0.23,27,14.88,1.12,0.22,29,15.5,1.12,0.22,29,16,1.1,0.22,29,16.25,1.16,0.23,29,16.75,1.1,0.22,29,16.88,1.12,0.22,29,17.21,1.16,0.23
RHINO PRODUCTS,Deeside,"Van bars, racks and add-ons",9.8,1.5,0.2,34,10.09,1.65,0.33,34,10.49,1.82,0.36,34,1.65,0.33,34,11.27,1.73,0.35,34,11.66,1.68,0.34,36,12.15,1.69,0.34,36,12.54,1.65,0.33,36,12.74,1.73,0.35,36,13.13,1.65,0.33,36,13.23,1.68,0.34,36,13.49,1.73,0.35
ESKDALEMUIR FORESTRY,Wrexham,Forests and farming,8.4,3.9,0.51,32,8.65,4.29,0.86,32,8.99,4.72,0.94,32,4.29,0.86,32,9.66,4.5,0.9,32,10,4.38,0.88,34,10.42,4.38,0.88,34,10.75,4.3,0.86,34,10.92,4.5,0.9,34,11.26,4.29,0.86,34,11.34,4.38,0.88,34,11.57,4.51,0.9
PARAMOUNT OFFICE INTERIORS,Cardiff,"Office design, fit-out and furniture",13.8,0.4,0.05,16,14.21,0.44,0.09,16,14.77,0.48,0.1,16,0.44,0.09,16,15.87,0.46,0.09,16,16.42,0.45,0.09,18,17.11,0.45,0.09,18,17.66,0.44,0.09,18,17.94,0.46,0.09,18,18.49,0.44,0.09,18,18.63,0.45,0.09,18,19,0.46,0.09
CMC PARTNERSHIP (UK),Monmouth,"Interim management, management consultancy and training",13.8,0.4,0.05,17,14.21,0.44,0.09,17,14.77,0.48,0.1,17,0.44,0.09,17,15.87,0.46,0.09,17,16.42,0.45,0.09,19,17.11,0.45,0.09,19,17.66,0.44,0.09,19,17.94,0.46,0.09,19,18.49,0.44,0.09,19,18.63,0.45,0.09,19,19,0.46,0.09
ENCON CONSTRUCTION,Cardiff,Civil engineering and construction,12.5,0.4,0.05,17,12.88,0.44,0.09,17,13.38,0.48,0.1,17,0.44,0.09,17,14.38,0.46,0.09,17,14.88,0.45,0.09,19,15.5,0.45,0.09,19,16,0.44,0.09,19,16.25,0.46,0.09,19,16.75,0.44,0.09,19,16.88,0.45,0.09,19,17.21,0.46,0.09
CL JONES (HOLDING),Bangor,Building materials,9.9,0.6,0.08,41,10.2,0.66,0.13,41,10.59,0.73,0.15,41,0.66,0.13,41,11.39,0.69,0.14,41,11.78,0.67,0.13,43,12.28,0.67,0.13,43,12.67,0.66,0.13,43,12.87,0.69,0.14,43,13.27,0.66,0.13,43,13.37,0.67,0.13,43,13.63,0.69,0.14
CHEMSPEC (EAST ANGLIA),Cardiff,Agricultural chemicals,7.6,1.1,0.14,22,7.83,1.21,0.24,22,8.13,1.33,0.27,22,1.21,0.24,22,8.74,1.27,0.25,22,9.04,1.23,0.25,24,9.42,1.24,0.25,24,9.73,1.21,0.24,24,9.88,1.27,0.25,24,10.18,1.21,0.24,24,10.26,1.23,0.25,24,10.47,1.27,0.25
VITTORIA HEALTHCARE,Deeside,Pharmacies,13.6,2.1,0.27,44,14.01,2.31,0.46,44,14.55,2.54,0.51,44,2.31,0.46,44,15.64,2.43,0.49,44,16.18,2.36,0.47,46,16.86,2.36,0.47,46,17.41,2.31,0.46,46,17.68,2.43,0.49,46,18.22,2.31,0.46,46,18.36,2.36,0.47,46,18.73,2.43,0.49
MONTAGNE JEUNESSE INTERNATIONAL,Port Talbot,Face packs and related products distributor,13,1.3,0.17,54,13.39,1.43,0.29,54,13.91,1.57,0.31,54,1.43,0.29,54,14.95,1.5,0.3,54,15.47,1.46,0.29,56,16.12,1.46,0.29,56,16.64,1.43,0.29,56,16.9,1.5,0.3,56,17.42,1.43,0.29,56,17.55,1.46,0.29,56,17.9,1.5,0.3
COMPLETE CORE BUSINESS SOLUTIONS,Mountain Ash,Packaging,10.3,1.7,0.22,67,10.61,1.87,0.37,67,11.02,2.06,0.41,67,1.87,0.37,67,11.85,1.96,0.39,67,12.26,1.91,0.38,69,12.77,1.91,0.38,69,13.18,1.87,0.37,69,13.39,1.96,0.39,69,13.8,1.87,0.37,69,13.91,1.91,0.38,69,14.18,1.96,0.39
BOF,Bridgend,Wholesale and retail office furniture,12.5,0.8,0.1,32,12.88,0.88,0.18,32,13.38,0.97,0.19,32,0.88,0.18,32,14.38,0.92,0.18,32,14.88,0.9,0.18,34,15.5,0.9,0.18,34,16,0.88,0.18,34,16.25,0.92,0.18,34,16.75,0.88,0.18,34,16.88,0.9,0.18,34,17.21,0.92,0.18
CCP BUILDING PRODUCTS,Wrexham,Building products,12.2,0.7,0.09,25,12.57,0.77,0.15,25,13.05,0.85,0.17,25,0.77,0.15,25,14.03,0.81,0.16,25,14.52,0.79,0.16,27,15.13,0.79,0.16,27,15.62,0.77,0.15,27,15.86,0.81,0.16,27,16.35,0.77,0.15,27,16.47,0.79,0.16,27,16.8,0.81,0.16
EVANS WILSON AND EVANS,Caernarfon,Construction and civil engineering,8.1,1.5,0.2,76,8.34,1.65,0.33,76,8.67,1.82,0.36,76,1.65,0.33,76,9.32,1.73,0.35,76,9.64,1.68,0.34,78,10.04,1.69,0.34,78,10.37,1.65,0.33,78,10.53,1.73,0.35,78,10.85,1.65,0.33,78,10.94,1.68,0.34,78,11.15,1.73,0.35
WE DOWDS (SHIPPING),Newport,Cargo handling,9.6,0.8,0.1,43,9.89,0.88,0.18,43,10.27,0.97,0.19,43,0.88,0.18,43,11.04,0.92,0.18,43,11.42,0.9,0.18,45,11.9,0.9,0.18,45,12.29,0.88,0.18,45,12.48,0.92,0.18,45,12.86,0.88,0.18,45,12.96,0.9,0.18,45,13.22,0.92,0.18
GTS FLEXIBLE MATERIALS,Ebbw Vale,Flexible laminates and related products,8.1,1.2,0.16,56,8.34,1.32,0.26,56,8.67,1.45,0.29,56,1.32,0.26,56,9.32,1.39,0.28,56,9.64,1.35,0.27,58,10.04,1.35,0.27,58,10.37,1.32,0.26,58,10.53,1.39,0.28,58,10.85,1.32,0.26,58,10.94,1.35,0.27,58,11.15,1.39,0.28
