SMEs,Location,Activity,"Turnover January,2018 (Pounds in millions)","Pre-tax Profit January,2018 (Pounds in millions)",Tax 2018 (Pounds in millions) ,"No of Employee January,2018","Turnover Febuary,2018 (Pounds in millions)","Pre-tax Profit Febuary,2018 (Pounds in millions)","Tax Febuary,2018 (Pounds in millions)","No of Employee Febuary,2018","Turnover March,2018 (Pounds in millions)","Pre-tax Profit March,2018 (Pounds in millions)","Tax March,2018 (Pounds in millions)","No of Employee March,2018","Pre-tax Profit April,2018 (Pounds in millions)","Tax April,2018 (Pounds in millions)","No of Employee April,2018","Turnover May,2018 (Pounds in millions)","Pre-tax Profit May,2018 (Pounds in millions)","Tax May,2018 (Pounds in millions)","No of Employee May,2018","Turnover June,2018 (Pounds in millions)","Pre-tax Profit June,2018 (Pounds in millions)","Tax June,2018 (Pounds in millions)","No of Employee June,2018","Turnover July,2018 (Pounds in millions)","Pre-tax Profit July,2018 (Pounds in millions)","Tax July,2018 (Pounds in millions)","No of Employee July,2018","Turnover August,2018 (Pounds in millions)","Pre-tax Profit August,2018 (Pounds in millions)","Tax August,2018 (Pounds in millions)","No of Employee August,2018","Turnover September,2018 (Pounds in millions)","Pre-tax Profit September,2018 (Pounds in millions)","Tax September,2018 (Pounds in millions)","No of Employee September,2018","Turnover October,2018 (Pounds in millions)","Pre-tax Profit October,2018 (Pounds in millions)","Tax October,2018 (Pounds in millions)","No of Employee October,2018","Turnover November,2018 (Pounds in millions)","Pre-tax Profit November,2018 (Pounds in millions)","Tax November,2018 (Pounds in millions)","No of Employee November,2018","Turnover December,2018 (Pounds in millions)","Pre-tax Profit December,2018 (Pounds in millions)","Tax December,2018 (Pounds in millions)"
Green Group International,Doncaster,Provision of logistics and transport services,10931,993,129.09,44,11258.93,1092.3,218.46,44,11696.17,1201.53,240.31,44,1092.3,218.46,44,12570.65,1146.92,229.38,44,13007.89,1114.15,222.83,46,13554.44,1116.37,223.27,46,13991.68,1094.48,218.9,46,14210.3,1146.92,229.38,46,14647.54,1092.3,218.46,46,14756.85,1114.15,222.83,46,15051.99,1147.57,229.51
The Abbey Group UK,Chesterfield,"Production, treatment and forging of steel",13464,954,124.02,113,13867.92,1049.4,209.88,113,14406.48,1154.34,230.87,113,1049.4,209.88,113,15483.6,1101.87,220.37,113,16022.16,1070.39,214.08,115,16695.36,1072.53,214.51,115,17233.92,1051.5,210.3,115,17503.2,1101.87,220.37,115,18041.76,1049.4,209.88,115,18176.4,1070.39,214.08,115,18539.93,1102.5,220.5
Saul Construction,Rotherham,Building and civil engineering contractors,24888,954,124.02,109,25634.64,1049.4,209.88,109,26630.16,1154.34,230.87,109,1049.4,209.88,109,28621.2,1101.87,220.37,109,29616.72,1070.39,214.08,111,30861.12,1072.53,214.51,111,31856.64,1051.5,210.3,111,32354.4,1101.87,220.37,111,33349.92,1049.4,209.88,111,33598.8,1070.39,214.08,111,34270.78,1102.5,220.5
Kingfield Electronics,Sheffield,Production of electronic and electro-mechanical aparatus and sub-assemblies,24448,952,123.76,199,25181.44,1047.2,209.44,199,26159.36,1151.92,230.38,199,1047.2,209.44,199,28115.2,1099.56,219.91,199,29093.12,1068.14,213.63,201,30315.52,1070.28,214.06,201,31293.44,1049.29,209.86,201,31782.4,1099.56,219.91,201,32760.32,1047.2,209.44,201,33004.8,1068.14,213.63,201,33664.9,1100.19,220.04
Sargents Properties,Barnsley,Manufacture of bakery and confectionery products,10932,940,122.2,69,11259.96,1034,206.8,69,11697.24,1137.4,227.48,69,1034,206.8,69,12571.8,1085.7,217.14,69,13009.08,1054.68,210.94,71,13555.68,1056.79,211.36,71,13992.96,1036.07,207.21,71,14211.6,1085.7,217.14,71,14648.88,1034,206.8,71,14758.2,1054.68,210.94,71,15053.36,1086.32,217.26
BEN Bennett JR,Chesterfield,Quarrying of limestone and manufacture of cold rolled and hardened and tempered steel strip,12773,930,120.9,111,13156.19,1023,204.6,111,13667.11,1125.3,225.06,111,1023,204.6,111,14688.95,1074.15,214.83,111,15199.87,1043.46,208.69,113,15838.52,1045.55,209.11,113,16349.44,1025.05,205.01,113,16604.9,1074.15,214.83,113,17115.82,1023,204.6,113,17243.55,1043.46,208.69,113,17588.42,1074.76,214.95
Loadhog,Doncaster,"Manufacture, distribution and hire of re- packaging systems",15465,916,119.08,49,15928.95,1007.6,201.52,49,16547.55,1108.36,221.67,49,1007.6,201.52,49,17784.75,1057.98,211.6,49,18403.35,1027.75,205.55,51,19176.6,1029.81,205.96,51,19795.2,1009.62,201.92,51,20104.5,1057.98,211.6,51,20723.1,1007.6,201.52,51,20877.75,1027.75,205.55,51,21295.31,1058.58,211.72
Milner,Rotherham,Sale of motor vehicle components,10112,906,117.78,73,10415.36,996.6,199.32,73,10819.84,1096.26,219.25,73,996.6,199.32,73,11628.8,1046.43,209.29,73,12033.28,1016.53,203.31,75,12538.88,1018.57,203.71,75,12943.36,998.59,199.72,75,13145.6,1046.43,209.29,75,13550.08,996.6,199.32,75,13651.2,1016.53,203.31,75,13924.22,1047.03,209.41
Fosters Bakery,Sheffield,Bakers and confectioners,13396,906,117.78,90,13797.88,996.6,199.32,90,14333.72,1096.26,219.25,90,996.6,199.32,90,15405.4,1046.43,209.29,90,15941.24,1016.53,203.31,92,16611.04,1018.57,203.71,92,17146.88,998.59,199.72,92,17414.8,1046.43,209.29,92,17950.64,996.6,199.32,92,18084.6,1016.53,203.31,92,18446.29,1047.03,209.41
AEW Paddock Motors,Matlock,Retailing of vehicle spares and property development,9774,886,115.18,78,10067.22,974.6,194.92,78,10458.18,1072.06,214.41,78,974.6,194.92,78,11240.1,1023.33,204.67,78,11631.06,994.09,198.82,80,12119.76,996.08,199.22,80,12510.72,976.55,195.31,80,12706.2,1023.33,204.67,80,13097.16,974.6,194.92,80,13194.9,994.09,198.82,80,13458.8,1023.91,204.78
Paragon Foodservice,Barnsley,Distribution of deep frozen foods,13383,886,115.18,204,13784.49,974.6,194.92,204,14319.81,1072.06,214.41,204,974.6,194.92,204,15390.45,1023.33,204.67,204,15925.77,994.09,198.82,206,16594.92,996.08,199.22,206,17130.24,976.55,195.31,206,17397.9,1023.33,204.67,206,17933.22,974.6,194.92,206,18067.05,994.09,198.82,206,18428.39,1023.91,204.78
B.J. Waters,Matlock,Haulage Contractors,1200,880,114.4,51,1236,968,193.6,51,1284,1064.8,212.96,51,968,193.6,51,1380,1016.4,203.28,51,1428,987.36,197.47,53,1488,989.33,197.87,53,1536,969.94,193.99,53,1560,1016.4,203.28,53,1608,968,193.6,53,1620,987.36,197.47,53,1652.4,1016.98,203.4
McGhee Holdings,Belper,"Buying,processing and distribution of graphite rods","47,111",1.43,0.19,27,48524.33,1.57,0.31,27,50408.77,1.73,0.35,27,1.57,0.31,27,54177.65,1.65,0.33,27,56062.09,1.6,0.32,29,58417.64,1.61,0.32,29,60302.08,1.58,0.32,29,61244.3,1.65,0.33,29,63128.74,1.57,0.31,29,63599.85,1.6,0.32,29,64871.85,1.65,0.33
Moorhen Holdings,Chesterfield,Roofing and cladding material manufacturers,"26,152",1.27,0.17,57,26936.56,1.4,0.28,57,27982.64,1.54,0.31,57,1.4,0.28,57,30074.8,1.47,0.29,57,31120.88,1.42,0.28,59,32428.48,1.43,0.29,59,33474.56,1.4,0.28,59,33997.6,1.47,0.29,59,35043.68,1.4,0.28,59,35305.2,1.42,0.28,59,36011.3,1.47,0.29
Bailey Construction (Derby) Holdings,Belper,Building developer and contractor,"18,346",1.24,0.16,21,18896.38,1.36,0.27,21,19630.22,1.5,0.3,21,1.36,0.27,21,21097.9,1.43,0.29,21,21831.74,1.39,0.28,23,22749.04,1.39,0.28,23,23482.88,1.37,0.27,23,23849.8,1.43,0.29,23,24583.64,1.36,0.27,23,24767.1,1.39,0.28,23,25262.44,1.43,0.29
Clee Hill Plant,Chesterfield,Plant hire,"18,157",1.26,0.16,188,18701.71,1.39,0.28,188,19427.99,1.52,0.3,188,1.39,0.28,188,20880.55,1.46,0.29,188,21606.83,1.41,0.28,190,22514.68,1.42,0.28,190,23240.96,1.39,0.28,190,23604.1,1.46,0.29,190,24330.38,1.39,0.28,190,24511.95,1.41,0.28,190,25002.19,1.46,0.29
Derbyshire Aggregates,Bakewell,Supply of aggregates,"24,433",0.91,0.12,58,25165.99,1,0.2,58,26143.31,1.1,0.22,58,1,0.2,58,28097.95,1.05,0.21,58,29075.27,1.02,0.2,60,30296.92,1.02,0.2,60,31274.24,1,0.2,60,31762.9,1.05,0.21,60,32740.22,1,0.2,60,32984.55,1.02,0.2,60,33644.24,1.05,0.21
National Floorcoverings Group,Matlock,Manufacture and supply of carpets and allied products,"22,828",1.01,0.13,124,23512.84,1.11,0.22,124,24425.96,1.22,0.24,124,1.11,0.22,124,26252.2,1.17,0.23,124,27165.32,1.13,0.23,126,28306.72,1.14,0.23,126,29219.84,1.11,0.22,126,29676.4,1.17,0.23,126,30589.52,1.11,0.22,126,30817.8,1.13,0.23,126,31434.16,1.17,0.23
Long Rake Spar Company (The),Bakewell,Processing and sale of calcite spar,"26,122",1.17,0.15,84,26905.66,1.29,0.26,84,27950.54,1.42,0.28,84,1.29,0.26,84,30040.3,1.35,0.27,84,31085.18,1.31,0.26,86,32391.28,1.32,0.26,86,33436.16,1.29,0.26,86,33958.6,1.35,0.27,86,35003.48,1.29,0.26,86,35264.7,1.31,0.26,86,35969.99,1.35,0.27
Tennant Metallurgical Group Holdings,Chesterfield,"Ferro alloys, metals and minerals","65,304",1.15,0.15,12,67263.12,1.27,0.25,12,69875.28,1.39,0.28,12,1.27,0.25,12,75099.6,1.33,0.27,12,77711.76,1.29,0.26,14,80976.96,1.29,0.26,14,83589.12,1.27,0.25,14,84895.2,1.33,0.27,14,87507.36,1.27,0.25,14,88160.4,1.29,0.26,14,89923.61,1.33,0.27
Utopia Holdings (Chesterfield),Chesterfield,Design and creation of full table and barware to the hospitality industry,"35,112",0.79,0.1,110,36165.36,0.87,0.17,110,37569.84,0.96,0.19,110,0.87,0.17,110,40378.8,0.91,0.18,110,41783.28,0.89,0.18,112,43538.88,0.89,0.18,112,44943.36,0.87,0.17,112,45645.6,0.91,0.18,112,47050.08,0.87,0.17,112,47401.2,0.89,0.18,112,48349.22,0.91,0.18
Minorfern,Chesterfield,Car and motor spares factors,"25,705",1.04,0.14,284,26476.15,1.14,0.23,284,27504.35,1.26,0.25,284,1.14,0.23,284,29560.75,1.2,0.24,284,30588.95,1.17,0.23,286,31874.2,1.17,0.23,286,32902.4,1.15,0.23,286,33416.5,1.2,0.24,286,34444.7,1.14,0.23,286,34701.75,1.17,0.23,286,35395.79,1.2,0.24
WCEC Group,Chesterfield,Architectural services,"9,152",1.49,0.19,130,9426.56,1.64,0.33,130,9792.64,1.8,0.36,130,1.64,0.33,130,10524.8,1.72,0.34,130,10890.88,1.67,0.33,132,11348.48,1.68,0.34,132,11714.56,1.64,0.33,132,11897.6,1.72,0.34,132,12263.68,1.64,0.33,132,12355.2,1.67,0.33,132,12602.3,1.72,0.34
Asmet,Dronfield,Production of metallurgical consumables,"18,759",1.47,0.19,11,19321.77,1.62,0.32,11,20072.13,1.78,0.36,11,1.62,0.32,11,21572.85,1.7,0.34,11,22323.21,1.65,0.33,13,23261.16,1.65,0.33,13,24011.52,1.62,0.32,13,24386.7,1.7,0.34,13,25137.06,1.62,0.32,13,25324.65,1.65,0.33,13,25831.14,1.7,0.34
Pinelog Group,Matlock,Manufacture of timber leisure buildings and holiday letting business,"11,563",1.45,0.19,274,11909.89,1.6,0.32,274,12372.41,1.75,0.35,274,1.6,0.32,274,13297.45,1.67,0.33,274,13759.97,1.63,0.33,276,14338.12,1.63,0.33,276,14800.64,1.6,0.32,276,15031.9,1.67,0.33,276,15494.42,1.6,0.32,276,15610.05,1.63,0.33,276,15922.25,1.68,0.34
URA Ventures,Chesterfield,Contract hire and sale of motor vehicles and other related services,"11,696",1.41,0.18,33,12046.88,1.55,0.31,33,12514.72,1.71,0.34,33,1.55,0.31,33,13450.4,1.63,0.33,33,13918.24,1.58,0.32,35,14503.04,1.59,0.32,35,14970.88,1.55,0.31,35,15204.8,1.63,0.33,35,15672.64,1.55,0.31,35,15789.6,1.58,0.32,35,16105.39,1.63,0.33
Panache Lingerie,Sheffield,Wholesale and distribution of ladies undergarments and swimwear,"24,989",0.89,0.12,117,25738.67,0.98,0.2,117,26738.23,1.08,0.22,117,0.98,0.2,117,28737.35,1.03,0.21,117,29736.91,1,0.2,119,30986.36,1,0.2,119,31985.92,0.98,0.2,119,32485.7,1.03,0.21,119,33485.26,0.98,0.2,119,33735.15,1,0.2,119,34409.85,1.03,0.21
Capital Refractories,Chesterfield,Manufacture and sale of refractory materials,"33,829",1,0.13,246,34843.87,1.1,0.22,246,36197.03,1.21,0.24,246,1.1,0.22,246,38903.35,1.16,0.23,246,40256.51,1.12,0.22,248,41947.96,1.12,0.22,248,43301.12,1.1,0.22,248,43977.7,1.16,0.23,248,45330.86,1.1,0.22,248,45669.15,1.12,0.22,248,46582.53,1.16,0.23
Garner Holdings,Ripley,Property development and investment,"10,443",1.18,0.15,132,10756.29,1.3,0.26,132,11174.01,1.43,0.29,132,1.3,0.26,132,12009.45,1.36,0.27,132,12427.17,1.32,0.26,134,12949.32,1.33,0.27,134,13367.04,1.3,0.26,134,13575.9,1.36,0.27,134,13993.62,1.3,0.26,134,14098.05,1.32,0.26,134,14380.01,1.36,0.27
SRS Rail System (Holdings),Chesterfield,Servicies to the railway industry,"17,654",1.17,0.15,101,18183.62,1.29,0.26,101,18889.78,1.42,0.28,101,1.29,0.26,101,20302.1,1.35,0.27,101,21008.26,1.31,0.26,103,21890.96,1.32,0.26,103,22597.12,1.29,0.26,103,22950.2,1.35,0.27,103,23656.36,1.29,0.26,103,23832.9,1.31,0.26,103,24309.56,1.35,0.27
J C Balls & Sons,Belper,Excavation and tipper services,"13,863",1.09,0.14,111,14278.89,1.2,0.24,111,14833.41,1.32,0.26,111,1.2,0.24,111,15942.45,1.26,0.25,111,16496.97,1.22,0.24,113,17190.12,1.23,0.25,113,17744.64,1.2,0.24,113,18021.9,1.26,0.25,113,18576.42,1.2,0.24,113,18715.05,1.22,0.24,113,19089.35,1.26,0.25
Tickford Orange,Alfreton,Manufacture and distribution of solid surface worktops,"13,950",2.75,0.36,84,14368.5,3.03,0.61,84,14926.5,3.33,0.67,84,3.03,0.61,84,16042.5,3.18,0.64,84,16600.5,3.09,0.62,86,17298,3.09,0.62,86,17856,3.03,0.61,86,18135,3.18,0.64,86,18693,3.03,0.61,86,18832.5,3.09,0.62,86,19209.15,3.18,0.64
M. M. D. Design and Consultancy,Alfreton,Design of special purpose mining machinery and equipment,"5,796",1.43,0.19,49,5969.88,1.57,0.31,49,6201.72,1.73,0.35,49,1.57,0.31,49,6665.4,1.65,0.33,49,6897.24,1.6,0.32,51,7187.04,1.61,0.32,51,7418.88,1.58,0.32,51,7534.8,1.65,0.33,51,7766.64,1.57,0.31,51,7824.6,1.6,0.32,51,7981.09,1.65,0.33
Richford Motor Services Limited,Alfreton,Provision of vehicle rescue and recovery services,"9,499",1.39,0.18,132,9783.97,1.53,0.31,132,10163.93,1.68,0.34,132,1.53,0.31,132,10923.85,1.61,0.32,132,11303.81,1.56,0.31,134,11778.76,1.56,0.31,134,12158.72,1.53,0.31,134,12348.7,1.61,0.32,134,12728.66,1.53,0.31,134,12823.65,1.56,0.31,134,13080.12,1.61,0.32
HRE Newco,Chesterfield,Business consultancy,"26,511",1.39,0.18,64,27306.33,1.53,0.31,64,28366.77,1.68,0.34,64,1.53,0.31,64,30487.65,1.61,0.32,64,31548.09,1.56,0.31,66,32873.64,1.56,0.31,66,33934.08,1.53,0.31,66,34464.3,1.61,0.32,66,35524.74,1.53,0.31,66,35789.85,1.56,0.31,66,36505.65,1.61,0.32
Breasley Pillows (The),Matlock,Bedding manufacturer,"36,002",1.23,0.16,218,37082.06,1.35,0.27,218,38522.14,1.49,0.3,218,1.35,0.27,218,41402.3,1.42,0.28,218,42842.38,1.38,0.28,220,44642.48,1.38,0.28,220,46082.56,1.36,0.27,220,46802.6,1.42,0.28,220,48242.68,1.35,0.27,220,48602.7,1.38,0.28,220,49574.75,1.42,0.28
Johnson Bros (Tours) Limited,Worksop,Coach and tour operators,"11,159",1.08,0.14,140,11493.77,1.19,0.24,140,11940.13,1.31,0.26,140,1.19,0.24,140,12832.85,1.25,0.25,140,13279.21,1.21,0.24,142,13837.16,1.21,0.24,142,14283.52,1.19,0.24,142,14506.7,1.25,0.25,142,14953.06,1.19,0.24,142,15064.65,1.21,0.24,142,15365.94,1.25,0.25
Plumbing Supplies Company Ltd,Sheffield,"Wholesale of hardware, plumbing and heating equipment","12,332",0.88,0.11,53,12701.96,0.97,0.19,53,13195.24,1.06,0.21,53,0.97,0.19,53,14181.8,1.02,0.2,53,14675.08,0.99,0.2,55,15291.68,0.99,0.2,55,15784.96,0.97,0.19,55,16031.6,1.02,0.2,55,16524.88,0.97,0.19,55,16648.2,0.99,0.2,55,16981.16,1.02,0.2
Moto Direct Holdings,Alfreton,Supply of motorcycle accessories,"23,211",1,0.13,130,23907.33,1.1,0.22,130,24835.77,1.21,0.24,130,1.1,0.22,130,26692.65,1.16,0.23,130,27621.09,1.12,0.22,132,28781.64,1.12,0.22,132,29710.08,1.1,0.22,132,30174.3,1.16,0.23,132,31102.74,1.1,0.22,132,31334.85,1.12,0.22,132,31961.55,1.16,0.23
Bridgstock,Chesterfield,Manufacture and distribution of polyethylene pipes,"30,825",0.79,0.1,97,31749.75,0.87,0.17,97,32982.75,0.96,0.19,97,0.87,0.17,97,35448.75,0.91,0.18,97,36681.75,0.89,0.18,99,38223,0.89,0.18,99,39456,0.87,0.17,99,40072.5,0.91,0.18,99,41305.5,0.87,0.17,99,41613.75,0.89,0.18,99,42446.03,0.91,0.18
Ondrives Group,Chesterfield,Manufacture and sale of precision engineering components,"6,229",0.84,0.11,57,6415.87,0.92,0.18,57,6665.03,1.02,0.2,57,0.92,0.18,57,7163.35,0.97,0.19,57,7412.51,0.94,0.19,59,7723.96,0.94,0.19,59,7973.12,0.93,0.19,59,8097.7,0.97,0.19,59,8346.86,0.92,0.18,59,8409.15,0.94,0.19,59,8577.33,0.97,0.19
Datagraphic Holdings,Chesterfield,Strategic document outsourcing through a multi channel platform,"13,464",1.25,0.16,113,13867.92,1.38,0.28,113,14406.48,1.51,0.3,113,1.38,0.28,113,15483.6,1.44,0.29,113,16022.16,1.4,0.28,115,16695.36,1.41,0.28,115,17233.92,1.38,0.28,115,17503.2,1.44,0.29,115,18041.76,1.38,0.28,115,18176.4,1.4,0.28,115,18539.93,1.44,0.29
Penny Hydraulics,Chesterfield,Manufacture and servicing of hydraulic and electrical components,"7,613",1.37,0.18,82,7841.39,1.51,0.3,82,8145.91,1.66,0.33,82,1.51,0.3,82,8754.95,1.58,0.32,82,9059.47,1.54,0.31,84,9440.12,1.54,0.31,84,9744.64,1.51,0.3,84,9896.9,1.58,0.32,84,10201.42,1.51,0.3,84,10277.55,1.54,0.31,84,10483.1,1.58,0.32
Milner Holdings (Matlock),Matlock,Sale of components for four-wheel drive Japanese vehicles,"9,774",1.33,0.17,78,10067.22,1.46,0.29,78,10458.18,1.61,0.32,78,1.46,0.29,78,11240.1,1.54,0.31,78,11631.06,1.49,0.3,80,12119.76,1.5,0.3,80,12510.72,1.47,0.29,80,12706.2,1.54,0.31,80,13097.16,1.46,0.29,80,13194.9,1.49,0.3,80,13458.8,1.54,0.31
AEW Paddock Motors,Matlock,Retail of vehicle spares,"14,700",1.12,0.15,51,15141,1.23,0.25,51,15729,1.36,0.27,51,1.23,0.25,51,16905,1.29,0.26,51,17493,1.26,0.25,53,18228,1.26,0.25,53,18816,1.23,0.25,53,19110,1.29,0.26,53,19698,1.23,0.25,53,19845,1.26,0.25,53,20241.9,1.29,0.26
Kingfield Electronics,Chesterfield,Production of electronic and electro-mechanical apparatus,"14,826",1.34,0.17,128,15270.78,1.47,0.29,128,15863.82,1.62,0.32,128,1.47,0.29,128,17049.9,1.55,0.31,128,17642.94,1.5,0.3,130,18384.24,1.51,0.3,130,18977.28,1.48,0.3,130,19273.8,1.55,0.31,130,19866.84,1.47,0.29,130,20015.1,1.5,0.3,130,20415.4,1.55,0.31
Lubricant Holdings,Chesterfield,Supply of lubricants,"24,847",1.36,0.18,105,25592.41,1.5,0.3,105,26586.29,1.65,0.33,105,1.5,0.3,105,28574.05,1.57,0.31,105,29567.93,1.53,0.31,107,30810.28,1.53,0.31,107,31804.16,1.5,0.3,107,32301.1,1.57,0.31,107,33294.98,1.5,0.3,107,33543.45,1.53,0.31,107,34214.32,1.57,0.31
Watson Trade,Chesterfield,Non-specialised wholesale trade,"5,294",0.84,0.11,10,5452.82,0.92,0.18,10,5664.58,1.02,0.2,10,0.92,0.18,10,6088.1,0.97,0.19,10,6299.86,0.94,0.19,12,6564.56,0.94,0.19,12,6776.32,0.93,0.19,12,6882.2,0.97,0.19,12,7093.96,0.92,0.18,12,7146.9,0.94,0.19,12,7289.84,0.97,0.19
Restek-Uk,Ripley,Building trade,"1,537",1.03,0.13,11,1583.11,1.13,0.23,11,1644.59,1.25,0.25,11,1.13,0.23,11,1767.55,1.19,0.24,11,1829.03,1.16,0.23,13,1905.88,1.16,0.23,13,1967.36,1.14,0.23,13,1998.1,1.19,0.24,13,2059.58,1.13,0.23,13,2074.95,1.16,0.23,13,2116.45,1.19,0.24
Weavers Close,Matlock,Property and management services,"5,506",0.76,0.1,115,5671.18,0.84,0.17,115,5891.42,0.92,0.18,115,0.84,0.17,115,6331.9,0.88,0.18,115,6552.14,0.85,0.17,117,6827.44,0.85,0.17,117,7047.68,0.84,0.17,117,7157.8,0.88,0.18,117,7378.04,0.84,0.17,117,7433.1,0.85,0.17,117,7581.76,0.88,0.18
Norder Associates,Belper,Structural and civil engineering consultancy,"3,515",1.2,0.16,25,3620.45,1.32,0.26,25,3761.05,1.45,0.29,25,1.32,0.26,25,4042.25,1.39,0.28,25,4182.85,1.35,0.27,27,4358.6,1.35,0.27,27,4499.2,1.32,0.26,27,4569.5,1.39,0.28,27,4710.1,1.32,0.26,27,4745.25,1.35,0.27,27,4840.16,1.39,0.28
Colortronic (U.K.),Chesterfield,Equipment manufacturer connected with the plastics industry,"9,577",0.96,0.12,30,9864.31,1.06,0.21,30,10247.39,1.16,0.23,30,1.06,0.21,30,11013.55,1.11,0.22,30,11396.63,1.08,0.22,32,11875.48,1.08,0.22,32,12258.56,1.06,0.21,32,12450.1,1.11,0.22,32,12833.18,1.06,0.21,32,12928.95,1.08,0.22,32,13187.53,1.11,0.22
Hastings Freight Holdings,Chesterfield,Freight transport,"10,970",1.36,0.18,80,11299.1,1.5,0.3,80,11737.9,1.65,0.33,80,1.5,0.3,80,12615.5,1.57,0.31,80,13054.3,1.53,0.31,82,13602.8,1.53,0.31,82,14041.6,1.5,0.3,82,14261,1.57,0.31,82,14699.8,1.5,0.3,82,14809.5,1.53,0.31,82,15105.69,1.57,0.31
Xbite,Chesterfield,Wholesale of entertainment leisure products,"36,445",1.34,0.17,93,37538.35,1.47,0.29,93,38996.15,1.62,0.32,93,1.47,0.29,93,41911.75,1.55,0.31,93,43369.55,1.5,0.3,95,45191.8,1.51,0.3,95,46649.6,1.48,0.3,95,47378.5,1.55,0.31,95,48836.3,1.47,0.29,95,49200.75,1.5,0.3,95,50184.77,1.55,0.31
James and Graven Holdings,Chesterfield,Construction projects and rental of investment properties,967,1.42,0.18,3,996.01,1.56,0.31,3,1034.69,1.72,0.34,3,1.56,0.31,3,1112.05,1.64,0.33,3,1150.73,1.59,0.32,5,1199.08,1.6,0.32,5,1237.76,1.57,0.31,5,1257.1,1.64,0.33,5,1295.78,1.56,0.31,5,1305.45,1.59,0.32,5,1331.56,1.64,0.33
John Smedley,Matlock,Manufacture and retail of knitwear,"17,977",1.06,0.14,349,18516.31,1.17,0.23,349,19235.39,1.28,0.26,349,1.17,0.23,349,20673.55,1.22,0.24,349,21392.63,1.19,0.24,351,22291.48,1.19,0.24,351,23010.56,1.17,0.23,351,23370.1,1.22,0.24,351,24089.18,1.17,0.23,351,24268.95,1.19,0.24,351,24754.33,1.22,0.24
Knights Care,Chesterfield,Operation of a nursing home,"3,791",1.31,0.17,169,3904.73,1.44,0.29,169,4056.37,1.59,0.32,169,1.44,0.29,169,4359.65,1.51,0.3,169,4511.29,1.47,0.29,171,4700.84,1.47,0.29,171,4852.48,1.44,0.29,171,4928.3,1.51,0.3,171,5079.94,1.44,0.29,171,5117.85,1.47,0.29,171,5220.21,1.51,0.3
B.J.Waters (Transport),Matlock,Haulage Contractors,"11,762",1.48,0.19,96,12114.86,1.63,0.33,96,12585.34,1.79,0.36,96,1.63,0.33,96,13526.3,1.71,0.34,96,13996.78,1.66,0.33,98,14584.88,1.66,0.33,98,15055.36,1.63,0.33,98,15290.6,1.71,0.34,98,15761.08,1.63,0.33,98,15878.7,1.66,0.33,98,16196.27,1.71,0.34
Owen Taylor And,Alfreton,Wholesale and catering butchers,"17,535",0.79,0.1,154,18061.05,0.87,0.17,154,18762.45,0.96,0.19,154,0.87,0.17,154,20165.25,0.91,0.18,154,20866.65,0.89,0.18,156,21743.4,0.89,0.18,156,22444.8,0.87,0.17,156,22795.5,0.91,0.18,156,23496.9,0.87,0.17,156,23672.25,0.89,0.18,156,24145.7,0.91,0.18
Filigree Holdings,Ripley,Manufacture and distribution of window furnishings,"8,909",1.2,0.16,70,9176.27,1.32,0.26,70,9532.63,1.45,0.29,70,1.32,0.26,70,10245.35,1.39,0.28,70,10601.71,1.35,0.27,72,11047.16,1.35,0.27,72,11403.52,1.32,0.26,72,11581.7,1.39,0.28,72,11938.06,1.32,0.26,72,12027.15,1.35,0.27,72,12267.69,1.39,0.28
Container Components Europe,Chesterfield,Manufacture of plastic industrial waste container lids,"7,446",0.88,0.11,53,7669.38,0.97,0.19,53,7967.22,1.06,0.21,53,0.97,0.19,53,8562.9,1.02,0.2,53,8860.74,0.99,0.2,55,9233.04,0.99,0.2,55,9530.88,0.97,0.19,55,9679.8,1.02,0.2,55,9977.64,0.97,0.19,55,10052.1,0.99,0.2,55,10253.14,1.02,0.2
Devonshire Hotels & Restaurants Group,Bakewell,Operation of hotels,"10,361",0.84,0.11,296,10671.83,0.92,0.18,296,11086.27,1.02,0.2,296,0.92,0.18,296,11915.15,0.97,0.19,296,12329.59,0.94,0.19,298,12847.64,0.94,0.19,298,13262.08,0.93,0.19,298,13469.3,0.97,0.19,298,13883.74,0.92,0.18,298,13987.35,0.94,0.19,298,14267.1,0.97,0.19
